Color,Material,Scan,Value1,Value2,Value3,Value4,Value5,Value6,Value7,Value8,Value9,Value10,Value11,Value12,Value13,Value14,Value15,Value16,Value17,Value18,Value19,Value20
e,Dec,57,280.0,289.0,2018.0,209.0,1257.0,778.0,188.0,350.0,1058.0,421.0,234.0,74.0,97.0,50.0,160.0,90.0,65.0,33.0,BlackASA,BlackASA
e,Dec,58,327.55,626.26,1889.53,185.27,981.26,556.65,108.99,194.45,1209.83,201.99,238.35,34.78,75.55,42.11,123.21,103.46,40.86,30.84,BlackASA,BlackASA
e,Dec,59,287.0,291.0,2018.0,211.0,1257.0,784.0,190.0,352.0,1003.0,423.0,231.0,75.0,93.0,51.0,136.0,92.0,64.0,33.0,BlackASA,BlackASA
e,Dec,60,347.25,630.14,1893.28,187.03,982.82,562.33,107.85,194.45,1395.59,201.04,240.41,34.32,83.67,44.59,171.23,104.58,40.86,29.9,BlackASA,BlackASA
e,Dec,61,278.0,294.0,2022.0,213.0,1259.0,792.0,188.0,352.0,1157.0,421.0,233.0,74.0,103.0,54.0,189.0,93.0,64.0,32.0,BlackASA,BlackASA
e,Dec,62,345.61,630.14,1896.09,182.64,981.26,552.39,107.27,192.24,1217.07,201.51,239.38,33.85,73.92,38.81,145.86,94.46,41.5,29.9,BlackASA,BlackASA
e,Dec,63,270.0,289.0,2025.0,208.0,1257.0,778.0,187.0,348.0,1009.0,422.0,232.0,73.0,91.0,47.0,161.0,84.0,65.0,32.0,BlackASA,BlackASA
e,Dec,64,328.37,635.97,1915.75,188.79,982.82,570.85,108.42,197.21,1113.33,201.99,223.9,34.78,70.67,37.99,129.55,101.21,40.86,30.84,BlackASA,BlackASA
e,Dec,65,267.0,300.0,2046.0,215.0,1259.0,804.0,189.0,357.0,923.0,423.0,217.0,75.0,87.0,46.0,143.0,90.0,64.0,33.0,BlackASA,BlackASA
e,Dec,66,123.14,621.41,1925.11,188.79,991.4,568.72,98.67,183.4,343.77,182.89,134.13,33.85,50.36,27.25,88.78,141.69,40.22,29.9,BlackASA,BlackASA
e,Dec,67,97.0,286.0,2056.0,215.0,1270.0,801.0,172.0,332.0,285.0,383.0,130.0,73.0,62.0,33.0,98.0,126.0,63.0,32.0,BlackASA,BlackASA
e,Dec,68,122.32,620.43,1920.43,185.27,989.84,557.36,96.95,178.98,364.28,194.83,124.85,33.39,47.93,28.08,83.35,139.45,40.86,29.9,BlackASA,BlackASA
e,Dec,69,90.0,279.0,2051.0,211.0,1268.0,785.0,169.0,324.0,302.0,408.0,121.0,72.0,59.0,34.0,92.0,124.0,64.0,32.0,BlackASA,BlackASA
e,Dec,70,123.14,618.49,1922.3,190.54,991.4,575.11,95.8,178.43,428.2,191.49,122.78,34.32,51.18,32.21,86.07,143.94,40.86,30.84,BlackASA,BlackASA
e,Dec,71,101.0,288.0,2053.0,217.0,1270.0,810.0,167.0,323.0,355.0,401.0,119.0,74.0,63.0,39.0,95.0,128.0,64.0,33.0,BlackASA,BlackASA
e,Dec,72,158.44,623.35,1919.49,185.27,989.06,558.07,100.96,186.16,259.34,199.13,133.1,33.85,64.17,27.25,82.44,141.69,40.86,29.9,BlackASA,BlackASA
e,Dec,73,117.0,282.0,2050.0,211.0,1267.0,786.0,176.0,337.0,215.0,417.0,129.0,73.0,79.0,33.0,91.0,126.0,64.0,32.0,BlackASA,BlackASA
e,Dec,74,150.23,621.41,1925.11,190.54,995.31,573.69,103.26,190.03,289.49,157.11,143.42,34.32,61.74,28.08,89.69,145.07,39.59,30.84,BlackASA,BlackASA
e,Dec,75,120.0,290.0,2056.0,217.0,1275.0,808.0,180.0,344.0,240.0,329.0,139.0,74.0,76.0,34.0,99.0,129.0,62.0,33.0,BlackASA,BlackASA
e,Dec,76,155.97,623.35,1925.11,190.54,996.09,574.4,60.23,130.92,429.41,156.63,138.26,30.61,50.36,29.73,87.88,136.07,39.59,28.97,BlackASA,BlackASA
e,Dec,77,122.0,289.0,2056.0,217.0,1276.0,809.0,105.0,237.0,356.0,328.0,134.0,66.0,62.0,36.0,97.0,121.0,62.0,31.0,BlackASA,BlackASA
e,Dec,78,182.24,626.26,1920.43,202.84,989.84,609.9,112.44,207.16,436.65,200.56,145.48,36.63,76.36,32.21,86.07,147.32,40.86,32.71,BlackASA,BlackASA
e,Dec,79,133.0,310.0,2051.0,231.0,1268.0,859.0,196.0,375.0,362.0,420.0,141.0,79.0,94.0,39.0,95.0,131.0,64.0,35.0,BlackASA,BlackASA
e,Dec,80,367.77,639.85,1912.0,189.66,985.16,573.69,104.98,191.69,896.21,202.47,230.09,34.78,67.42,35.51,135.89,121.45,41.5,30.84,BlackASA,BlackASA
e,Dec,81,175.0,293.0,2042.0,216.0,1262.0,808.0,183.0,347.0,743.0,424.0,223.0,75.0,83.0,43.0,150.0,108.0,65.0,33.0,BlackASA,BlackASA
e,Dec,82,380.08,642.77,1917.62,183.52,985.94,553.81,104.98,191.14,1149.52,201.99,240.41,33.85,72.3,39.64,159.45,114.71,41.5,30.84,BlackASA,BlackASA
e,Dec,83,328.0,296.0,2048.0,209.0,1263.0,780.0,183.0,346.0,953.0,423.0,233.0,73.0,89.0,48.0,176.0,102.0,65.0,33.0,BlackASA,BlackASA
e,Dec,84,388.29,641.8,1913.88,189.66,985.94,572.98,109.57,198.87,1186.91,201.99,228.03,34.78,73.11,39.64,151.29,107.96,41.5,30.84,BlackASA,BlackASA
e,Dec,85,310.0,303.0,2044.0,216.0,1263.0,807.0,191.0,360.0,984.0,423.0,221.0,75.0,90.0,48.0,167.0,96.0,65.0,33.0,BlackASA,BlackASA
e,Dec,86,378.44,641.8,1940.09,177.37,972.67,552.39,100.96,185.61,1196.56,199.13,238.35,32.92,75.55,37.99,131.36,103.46,41.5,30.84,BlackASA,BlackASA
e,Dec,87,314.0,296.0,2072.0,202.0,1246.0,778.0,176.0,336.0,992.0,417.0,231.0,71.0,93.0,46.0,145.0,92.0,65.0,33.0,BlackASA,BlackASA
e,Dec,88,343.14,638.88,1939.16,180.88,975.01,556.65,93.51,175.12,348.59,196.74,214.62,32.92,46.3,28.08,112.34,150.69,41.5,30.84,BlackASA,BlackASA
e,Dec,89,98.0,278.0,2071.0,206.0,1249.0,784.0,163.0,317.0,289.0,412.0,208.0,71.0,57.0,34.0,124.0,134.0,65.0,33.0,BlackASA,BlackASA
e,Dec,90,132.17,617.52,1935.41,182.64,977.35,563.75,102.11,187.27,259.34,191.96,125.88,33.85,69.86,28.08,83.35,152.94,40.86,30.84,BlackASA,BlackASA
e,Dec,91,142.0,286.0,2067.0,208.0,1252.0,794.0,178.0,339.0,215.0,402.0,122.0,73.0,86.0,34.0,92.0,136.0,64.0,33.0,BlackASA,BlackASA
e,Dec,92,375.98,641.8,1929.79,180.01,976.57,554.52,99.24,185.06,950.49,198.17,233.19,32.92,63.36,39.64,133.18,93.34,41.5,29.9,BlackASA,BlackASA
e,Dec,93,289.0,294.0,2061.0,205.0,1251.0,781.0,173.0,335.0,788.0,415.0,226.0,71.0,78.0,48.0,147.0,83.0,65.0,32.0,BlackASA,BlackASA
e,Dec,94,166.65,619.46,1922.3,189.66,987.5,569.43,56.22,123.19,396.84,144.69,125.88,29.68,45.49,27.25,82.44,140.57,38.95,28.97,BlackASA,BlackASA
e,Dec,95,174.0,287.0,2053.0,216.0,1265.0,802.0,98.0,223.0,329.0,303.0,122.0,64.0,56.0,33.0,91.0,125.0,61.0,31.0,BlackASA,BlackASA
e,Dec,96,214.26,605.87,1894.21,186.15,973.45,563.75,52.2,117.66,411.32,126.54,136.2,28.75,51.18,30.55,86.07,140.57,37.67,28.04,BlackASA,BlackASA
e,Dec,97,176.0,283.0,2023.0,212.0,1247.0,794.0,91.0,213.0,341.0,265.0,132.0,62.0,63.0,37.0,95.0,125.0,59.0,30.0,BlackASA,BlackASA
e,Dec,98,185.53,615.58,1910.13,185.27,971.89,570.14,91.21,171.8,595.87,156.63,139.29,33.39,51.99,32.21,86.97,122.58,39.59,30.84,BlackASA,BlackASA
e,Dec,99,186.0,294.0,2040.0,211.0,1245.0,803.0,159.0,311.0,494.0,328.0,135.0,72.0,64.0,39.0,96.0,109.0,62.0,33.0,BlackASA,BlackASA
